filename,basename,genre_selfascription,genre
mosenthal-die-lustigen-weiber-von-windsor.xml,mosenthal-die-lustigen-weiber-von-windsor,Komisch-phantastische Oper in drei Aufzügen,
wagner-parsifal.xml,wagner-parsifal,Ein Bühnenweihfestspiel,
gotter-die-erbschleicher.xml,gotter-die-erbschleicher,Ein Lustspiel in fünf Akten,Lustspiel
heine-william-ratcliff.xml,heine-william-ratcliff,Tragödie,Tragödie
malss-der-alte-buerger-capitain.xml,malss-der-alte-buerger-capitain,Lustspiel in zwei Aufzügen,Lustspiel
spiess-klara-von-hoheneichen.xml,spiess-klara-von-hoheneichen,Ritterschauspiel aus dem funfzehnten Jahrhunderte in vier Aufzügen,
anzengruber-das-vierte-gebot.xml,anzengruber-das-vierte-gebot,Volksstück in vier Akten,
laufs-jacoby-pension-schoeller.xml,laufs-jacoby-pension-schoeller,Posse in drei Aufzügen,
kotzebue-graf-benjowsky.xml,kotzebue-graf-benjowsky,Ein Schauspiel in fünf Aufzügen,
devrient-die-gunst-des-augenblicks.xml,devrient-die-gunst-des-augenblicks,Lustspiel in drei Akten,Lustspiel
alberti-im-suff.xml,alberti-im-suff,"Naturalistische Spital-Katastrophe in zwei Vorgängen und einem
          Nachgang",
neuber-das-schaeferfest.xml,neuber-das-schaeferfest,Ein deutsches Lustspiel in Versen,Lustspiel
schoenthan-der-raub-der-sabinerinnen.xml,schoenthan-der-raub-der-sabinerinnen,Schwank in vier Akten,
iffland-figaro-in-deutschland.xml,iffland-figaro-in-deutschland,Ein Lustspiel in fünf Aufzügen,Lustspiel
goering-seeschlacht.xml,goering-seeschlacht,Tragödie,Tragödie
hofmannsthal-alkestis.xml,hofmannsthal-alkestis,Ein Trauerspiel nach Euripides,Trauerspiel
nestroy-judith-und-holofernes.xml,nestroy-judith-und-holofernes,Travestie in einem Akt,
raimund-der-verschwender.xml,raimund-der-verschwender,Original-Zaubermärchen in drei Aufzügen,
goethe-clavigo.xml,goethe-clavigo,Ein Trauerspiel,Trauerspiel
klopstock-der-tod-adams.xml,klopstock-der-tod-adams,Ein Trauerspiel,Trauerspiel
reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod.xml,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,"in einem Lust- und Trauerspiele vorgestellet und aus dem Französischen in
          das Teutsche übergesetzt von Schelmuffsky Reise-Gefährten",Trauerspiel
goethe-des-epimenides-erwachen.xml,goethe-des-epimenides-erwachen,Ein Festspiel,
benedix-johanna-sebus.xml,benedix-johanna-sebus,Drama in 1 Akt,
ayrer-comedia-von-der-schoenen-sidea.xml,ayrer-comedia-von-der-schoenen-sidea,Mit 16 Personen vnd hat 5 Actus,
tieck-die-theegesellschaft.xml,tieck-die-theegesellschaft,Lustspiel in Einem Aufzuge,Lustspiel
gryphius-cardenio-und-celinde.xml,gryphius-cardenio-und-celinde,Trauerspiel,Trauerspiel
ebner-eschenbach-ohne-liebe.xml,ebner-eschenbach-ohne-liebe,Lustspiel in einem Akt,Lustspiel
schnitzer-der-zigeunerbaron.xml,schnitzer-der-zigeunerbaron,Operette in 3 Acten,
dovsky-mona-lisa.xml,dovsky-mona-lisa,Oper in zwei Akten,
birch-pfeiffer-pfeffer-roesel.xml,birch-pfeiffer-pfeffer-roesel,Schauspiel in fünf Aufzügen,
lenz-pandaemonium-germanicum.xml,lenz-pandaemonium-germanicum,Eine Skizze,
bleibtreu-ein-faust-der-that.xml,bleibtreu-ein-faust-der-that,Tragödie in fünf Akten,Tragödie
heyne-der-stammbaum.xml,heyne-der-stammbaum,Erste Fortsetzung der beyden Billets,
scheerbart-es-lebe-europa.xml,scheerbart-es-lebe-europa,Eine Kapitalisten-Tragödie in fünf Akten,Tragödie
dauthendey-die-spielereien-einer-kaiserin.xml,dauthendey-die-spielereien-einer-kaiserin,"Drama in vier Akten, einem Vorspiel und einem Epilog",
kafka-der-gruftwaechter.xml,kafka-der-gruftwaechter,,
schiller-maria-stuart.xml,schiller-maria-stuart,Ein Trauerspiel,Trauerspiel
tieck-prinz-zerbino.xml,tieck-prinz-zerbino,Ein deutsches Lustspiel in sechs Akten,Lustspiel
klinger-die-neue-arria.xml,klinger-die-neue-arria,Ein Schauspiel,
devrient-hans-heiling.xml,devrient-hans-heiling,Romantische Oper in drei Aufzügen und einem Vorspiel,
ebner-eschenbach-doctor-ritter.xml,ebner-eschenbach-doctor-ritter,Dramatisches Gedicht in 1 Aufzuge,
bierbaum-stella-und-antonie.xml,bierbaum-stella-und-antonie,Schauspiel in vier Aufzügen,
hebbel-demetrius.xml,hebbel-demetrius,,
bauernfeld-industrie-und-herz.xml,bauernfeld-industrie-und-herz,Lustspiel in vier Aufzügen,Lustspiel
andre-cremeri-die-leiden-des-jungen-werthers.xml,andre-cremeri-die-leiden-des-jungen-werthers,"Ein Trauerspiel in drey Aufzügen, fürs deutsche Theater. ganz aus dem
          Original gezogen",Trauerspiel
wedekind-tod-und-teufel.xml,wedekind-tod-und-teufel,Drei Szenen,
thoma-lottchens-geburtstag.xml,thoma-lottchens-geburtstag,Lustspiel in einem Akt,Lustspiel
