filename,genre_selfascription,genre
muellner-der-neun-und-zwanzigste-februar.xml,Trauerspiel in einem Akt,Trauerspiel
muehsam-judas.xml,Arbeiterdrama in fünf Akten,
hillern-guten-abend.xml,Dramatischer Scherz in einem Act,
brawe-der-freygeist.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
kotzebue-der-arme-poet.xml,Ein Schauspiel in Einem Akt,
ebner-eschenbach-die-selbstsuechtigen.xml,Lustspiel in drei Aufzügen,Lustspiel
meisl-orpheus-und-euridice.xml,Eine mythologische Karrikatur in zwey Acten in Knittelreimen,
wolf-cyankali.xml,Ein Schauspiel,
gottschedin-der-witzling.xml,Ein deutsches Nachspiel in einem Aufzuge,
freisleben-der-weihnachtstag.xml,"Drama in Einem Aufzuge. Bearbeitet nach einer Schreckensscene aus der
          wirklichen Welt",
gellert-die-zaertlichen-schwestern.xml,Ein Lustspiel in drei Aufzügen,Lustspiel
hartleben-rosenmontag.xml,Eine Offiziers-Tragödie,Tragödie
kotzebue-der-schutzgeist.xml,Eine dramatische Legende in sechs Akten nebst einem Vorspiel,
holz-jerschke-traumulus.xml,Tragische Komödie,Tragikomödie
lasker-schueler-die-wupper.xml,Schauspiel in fünf Aufzügen,
hauptmann-gabriel-schillings-flucht.xml,Drama,
brandes-ino.xml,Ein Melodrama,
stephanie-doktor-und-apotheker.xml,Komische Oper in zwei Aufzügen,
hofmannsthal-der-rosenkavalier.xml,Komödie für Musik,Komödie
gryphius-absurda-comica-oder-herr-peter-squentz.xml,Schimpff-Spiel,
wagner-die-kindermoerderin.xml,Ein Trauerspiel,Trauerspiel
hauptmann-die-ratten.xml,Berliner Tragikomödie,Tragikomödie
dohm-vom-stamm-der-asra.xml,Lustspiel in einem Act,Lustspiel
wildgans-dies-irae.xml,Eine Tragödie in fünf Akten,Tragödie
lessing-miss-sara-sampson.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
gronemann-hamans-flucht.xml,"Ein Purimspiel, in fünf Bildern",
guenderode-nikator.xml,Eine dramatische Skizze in drei Akten,
cornelius-der-barbier-von-bagdad.xml,Komische Oper in zwei Aufzügen,
may-babel-und-bibel.xml,Arabische Fantasia in zwei Akten,
borchert-draussen-vor-der-tuer.xml,"Ein Stück, das kein Theater spielen und kein Publikum sehen will",
hafner-maegera-die-foerchterliche-hexe.xml,Ein neues Zauberlustspiel,Lustspiel
steltzer-franziska-montenegro.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
bossdorf-bahnmeister-dood.xml,En nedderdüütsch Drama in fief Akten,
babo-arno.xml,Ein militärisches Drama in zween Aufzügen,
moser-das-stiftungsfest.xml,Schwank in 3 Aufzügen,
krueger-die-candidaten.xml,Ein Lustspiel in fünf Handlungen,Lustspiel
bueschel-julus-und-rhea.xml,Ein musikalisches Drama in einem Akt,
lessing-nathan-der-weise.xml,Ein dramatisches Gedicht in fünf Aufzügen,
kotzebue-der-freimaurer.xml,Lustspiel in Einem Act,Lustspiel
immermann-merlin.xml,Eine Mythe,
scheerbart-das-mirakel.xml,Eine dramatische Szene,
raimund-die-unheilbringende-zauberkrone.xml,Tragisch-komisches Original-Zauberspiel in zwei Aufzügen,
scheerbart-das-dumme-luder.xml,Ein Jupiter-Drama,
beyer-der-hausherr-in-der-klemme.xml,Ein Spiel in Versen in einem Aufzug,
heyse-don-juans-ende.xml,Trauerspiel in fünf Akten,Trauerspiel
hebbel-kriemhilds-rache.xml,Ein Trauerspiel in fünf Akten,Trauerspiel
klinger-simsone-grisaldo.xml,Ein Schauspiel in fünf Akten,
schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,Historisch Schauspiel in drei Aufzügen,
kleist-der-zerbrochene-krug.xml,Ein Lustspiel,Lustspiel
hofmannsthal-der-turm.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
ernst-die-groesste-suende.xml,Drama in 5 Akten,
schlegel-der-triumph-der-guten-frauen.xml,Ein Lustspiel in fünf Aufzügen,Lustspiel
goethe-faust-eine-tragoedie.xml,Eine Tragödie,Tragödie
raupach-kritik-und-antikritik.xml,Lustspiel in vier Akten,Lustspiel
weidmann-der-dorfbarbier.xml,Komische Oper in einem Akt,
ertler-das-spiel-von-doktor-faust.xml,Ein deutsches Stück im Volkston in einem Vorspiel und drei Akten,
hafner-die-reisenden-komoedianten.xml,Ein Lustspiel von einer Abhandlung,Lustspiel
ayrenhoff-der-postzug.xml,Ein Lustspiel in zween Aufzügen,Lustspiel
kleist-penthesilea.xml,Ein Lustspiel nach Molière,Lustspiel
preusse-herzmutterchen.xml,Lustspiel in einem Act von Dennery und Lemoine,Lustspiel
schlegel-canut.xml,Ein Trauerspiel,Trauerspiel
brawe-brutus.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
immermann-andreas-hofer.xml,Ein Trauerspiel,Trauerspiel
kotzebue-das-posthaus-in-treuenbrietzen.xml,Lustspiel in einem Akt,Lustspiel
krueger-die-geistlichen-auf-dem-lande.xml,Ein Lustspiel in drey Handlungen,Lustspiel
gottsched-atalanta.xml,"Ein Schäferspiel, in fünf Aufzügen",
solbrig-die-dorfschule.xml,Eine charakteristische Posse in einem Akte,
grabbe-napoleon.xml,Ein Drama in fünf Aufzügen,
sudermann-der-bettler-von-syrakus.xml,Tragödie in fünf Akten und einem Vorspiel,Tragödie
borkenstein-der-bookesbeutel.xml,Ein Lustspiel von Drey Aufzügen,Lustspiel
scheerbart-die-welt-geht-unter.xml,Ein Tableau,
schlegel-alarcos.xml,Ein Trauerspiel in zwei Aufzügen,Trauerspiel
schuetz-die-katze-laesst-das-mausen-nicht.xml,"Sprüchwort in einem Aufzuge, als Fortsetzung des Bauernguts",
alberti-brot.xml,Ein soziales Schauspiel in fünf Akten,
gerstenberg-ugolino.xml,Eine Tragödie in fünf Aufzügen,Tragödie
ebner-eschenbach-maennertreue.xml,Lustspiel in vier Aufzügen. Nach einer Novelle des Bandello,Lustspiel
moritz-blunt-oder-der-gast.xml,Ein Schauspiel in einem Aufzuge,
blumenthal-im-weissen-roessl.xml,Lustspiel in drei Aufzügen,Lustspiel
gottsched-der-sterbende-cato.xml,Ein Trauerspiel,Trauerspiel
guenderode-der-kanonenschlag.xml,Ein heroisches komisches tragisches Schauspiel,
raupach-der-bettler.xml,Schauspiel in einem Aufzuge,
weissenthurn-die-schwestern-st-janvier.xml,Schauspiel in fünf Aufzügen,
nestroy-das-haus-der-temperamente.xml,Posse mit Gesang in zwei Akten,
sonnleithner-dir-wie-mir.xml,Eine dramatische Kleinigkeit in einem Akt,
wagner-lohengrin.xml,Romantische Oper in drei Aufzügen,
wedekind-fruehlings-erwachen.xml,Eine Kindertragödie,Tragödie
lassalle-franz-von-sickingen.xml,Eine historische Tragödie,Tragödie
pfeffel-serena.xml,Ein Bürgerliches Trauerspiel,Trauerspiel
leisewitz-julius-von-tarent.xml,Ein Trauerspiel,Trauerspiel
hauptmann-carl-im-goldenen-tempel-buche-verzeichnet.xml,"(Nach einer japanischen Skizze) / Dichtung in drei Vorgängen / (Hinter
          Schleiern zu spielen)",
grabbe-die-hermannsschlacht.xml,,
sorge-der-bettler.xml,Eine dramatische Sendung,
rache-belsazar.xml,Drama in 1 Akt,
goethe-goetter-helden-und-wieland.xml,Eine Farce,
hofmannsthal-arabella.xml,Lyrische Komödie in drei Aufzügen,Komödie
schnitzler-der-puppenspieler.xml,Studie in einem Aufzug,
hofmannsthal-der-schwierige.xml,Lustspiel in drei Akten,Lustspiel
wildgans-in-ewigkeit-amen.xml,Ein gerichtliches Vorspiel in einem Akt,
wildenbruch-die-karolinger.xml,Trauerspiel in vier Akten,Trauerspiel
ebner-eschenbach-es-wandelt-niemand-ungestraft-unter-palmen.xml,Dramatisches Sprichwort,
pelzel-apolls-gericht-oder-das-bestrafte-vorurtheil-vindebonens.xml,Ein allegorisches Drama in einem Akte von einem Wiener,
wilbrandt-gracchus-der-volkstribun.xml,Trauerspiel in fünf Aufzügen,Trauerspiel
bodmer-polytimet.xml,"Ein Trauerspiel. Durch Lessings Philotas, oder ungerathenen Helden
          veranlasset",Trauerspiel
sievers-die-schatzgraeber.xml,Posse in einem Aufzuge. Fortsetzung der beiden Billets,
kraus-die-letzten-tage-der-menschheit.xml,Tragödie in fünf Akten mit Vorspiel und Epilog,Tragödie
kotzebue-maedchenfreundschaft.xml,Ein Lustspiel in einem Akt,Lustspiel
grabbe-kaiser-friedrich-barbarossa.xml,Eine Tragödie in fünf Akten,Tragödie
lautensack-die-pfarrhauskomoedie.xml,Carmen Sacerdotale / Drei Szenen,
wieland-alceste.xml,Ein Singspiel in fünf Aufzügen,
weise-masaniello.xml,Trauerspiel,Trauerspiel
hasenclever-der-sohn.xml,Ein Drama in fünf Akten,
immermann-eudoxia.xml,Ein Epilog,
grabbe-kaiser-heinrich-der-sechste.xml,Eine Tragödie in fünf Akten,Tragödie
schnitzler-lebendige-stunden.xml,Ein Akt,
gryphius-papinianus.xml,Trauerspiel,Trauerspiel
goethe-egmont.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
kotzebue-die-spanier-in-peru.xml,Ein romantisches Trauerspiel in fünf Aufzügen,Trauerspiel
grohmann-wohlthat-fuer-wohlthat.xml,Ein Schauspiel in zween Aufzügen,
boettger-das-kaffee-haus-zu-paris.xml,Ein Lustspiel in einem Akte,Lustspiel
kind-der-freischuetz.xml,Romantische Oper in drei Aufzügen,
holz-schlaf-die-familie-selicke.xml,Drama in drei Aufzügen,
hensler-der-schornsteinfeger.xml,Ein Original Lustspiel in drey Aufzügen,Lustspiel
schiller-die-jungfrau-von-orleans.xml,Eine romantische Tragödie,Tragödie
schink-der-neue-doktor-faust.xml,"Eine Plaisanterie mit Gesang, in zwei Aufzügen",
frank-sturm-im-wasserglas.xml,Komödie in drei Akten,Komödie
malss-die-jungfern-koechinnen.xml,Lokalposse in einem Akt,
